X,Y,Z
-0.228918,0.06605,-0.105918
0.038651,0.059422,-0.101241
0.239636,0.05887,-0.094943
0.34804,0.061516,-0.08375
0.382102,0.064116,-0.065758
0.381508,0.065154,-0.042371
0.374321,0.064864,-0.017548
0.360515,0.063909,0.005346
0.316816,0.062156,0.025677
0.218262,0.05857,0.04417
0.058764,0.052451,0.060913
-0.144105,0.04425,0.075735
-0.356542,0.034625,0.089228
-0.540703,0.023301,0.102099
-0.664573,0.009542,0.113625
-0.705744,-0.006446,0.120983
-0.652099,-0.02261,0.1204
-0.502789,-0.035726,0.110023
-0.269607,-0.043735,0.091727
0.022803,-0.047221,0.069641
0.339255,-0.047983,0.047537
0.640174,-0.047084,0.027677
0.890765,-0.044859,0.010933
1.070001,-0.04184,-0.002709
1.171943,-0.038841,-0.013821
1.194821,-0.035996,-0.023469
1.129659,-0.031614,-0.032974
0.961711,-0.022748,-0.04315
0.684405,-0.008272,-0.053535
0.31776,0.009073,-0.062348
-0.08714,0.024759,-0.067375
-0.469521,0.03568,-0.067575
-0.78411,0.040947,-0.064153
-1.006834,0.040729,-0.05995
-1.125949,0.034937,-0.057606
-1.131885,0.023371,-0.057559
-1.017736,0.007654,-0.057333
-0.79332,-0.007924,-0.05308
-0.492914,-0.018928,-0.042041
-0.160273,-0.023738,-0.024226
0.1712,-0.023687,-0.002634
0.481516,-0.021308,0.018185
0.7526,-0.018618,0.034178
0.954195,-0.016459,0.043343
1.044275,-0.015076,0.046204
0.992504,-0.014584,0.044985
0.802895,-0.014402,0.042283
0.511467,-0.012937,0.039998
0.167188,-0.008779,0.038635
-0.18734,-0.002112,0.037084
-0.522936,0.005177,0.033171
-0.814776,0.010289,0.02517
-1.03465,0.010473,0.013253
-1.159064,0.003945,-0.000245
-1.180778,-0.009296,-0.011775
-1.108064,-0.027113,-0.01831
-0.954513,-0.04579,-0.018552
-0.728744,-0.061409,-0.012716
-0.433937,-0.071593,-0.001892
-0.08111,-0.076405,0.012008
0.299159,-0.077474,0.026302
0.660613,-0.076593,0.038336
0.952125,-0.075051,0.046521
1.125621,-0.073577,0.050749
1.145471,-0.072413,0.051903
1.004066,-0.071489,0.050592
0.733356,-0.07072,0.046222
0.398355,-0.070109,0.037397
0.072081,-0.069449,0.022994
-0.199484,-0.068248,0.003116
-0.415138,-0.066323,-0.020335
-0.598391,-0.06434,-0.043636
-0.764988,-0.063468,-0.062148
-0.907323,-0.064429,-0.072263
-0.997273,-0.066633,-0.073087
-1.000435,-0.068187,-0.066522
-0.891425,-0.067131,-0.056125
-0.663151,-0.062579,-0.045493
-0.329885,-0.054551,-0.037039
0.075098,-0.043354,-0.031663
0.506177,-0.029502,-0.0288
0.914878,-0.014047,-0.026475
1.256451,0.001171,-0.021837
1.490997,0.013502,-0.012557
1.588437,0.019854,0.002112
1.542573,0.017685,0.021603
1.377699,0.00651,0.044627
1.132539,-0.011423,0.069003
0.837563,-0.032375,0.091404
0.506603,-0.052906,0.107939
0.146392,-0.070588,0.115341
-0.222669,-0.083519,0.112026
-0.557023,-0.089351,0.098259
-0.808181,-0.085526,0.075109
-0.948842,-0.071482,0.043629
-0.98314,-0.050083,0.005419
-0.939606,-0.025837,-0.036536
-0.852986,-0.002204,-0.078059
-0.747116,0.019151,-0.114584
-0.62862,0.037349,-0.141889
-0.490351,0.050867,-0.15685
-0.321958,0.057482,-0.158358
-0.123736,0.056301,-0.147769
0.081165,0.049105,-0.12823
0.244651,0.038706,-0.103409
0.309807,0.026738,-0.076379
0.239031,0.013662,-0.049176
0.041651,0.000054,-0.023196
-0.218445,-0.012666,0.000344
-0.450158,-0.022892,0.020492
-0.578767,-0.030569,0.03668
-0.58043,-0.037643,0.048409
-0.489825,-0.045699,0.05529
-0.371675,-0.053745,0.057966
-0.278593,-0.059089,0.058439
-0.221315,-0.059623,0.058579
-0.164731,-0.055042,0.05847
-0.055068,-0.046668,0.056536
0.141373,-0.036415,0.050988
0.410924,-0.026079,0.041391
0.691376,-0.017496,0.02903
0.902887,-0.012484,0.01558
0.986311,-0.011718,0.002056
0.924238,-0.014061,-0.010433
0.743225,-0.017751,-0.020086
0.500936,-0.021818,-0.025743
0.265353,-0.025946,-0.028096
-0.188598,-0.19775,-0.174105
-0.211221,-0.209635,-0.183503
-0.227335,-0.197833,-0.188512
-0.232529,-0.171454,-0.190124
-0.222116,-0.142323,-0.188703
-0.192877,-0.119021,-0.183905
-0.144344,-0.104142,-0.174905
-0.078706,-0.094675,-0.160787
0.000038,-0.084542,-0.141035
0.086862,-0.067677,-0.116047
0.176121,-0.040563,-0.087546
0.261653,-0.004027,-0.058583
0.337142,0.036107,-0.032944
0.397071,0.070419,-0.014517
0.437582,0.090077,-0.00706
0.456505,0.09184,-0.01384
0.452958,0.080866,-0.036511
0.427159,0.068751,-0.073541
0.380667,0.065732,-0.118938
0.316906,0.072585,-0.16229
0.241169,0.078692,-0.190914
0.159514,0.067754,-0.19311
0.077495,0.029474,-0.161253
-0.000259,-0.031878,-0.093859
-0.069806,-0.099907,0.004121
-0.127536,-0.155141,0.122658
-0.170217,-0.183889,0.24923
-0.19572,-0.182187,0.370823
-0.203985,-0.152985,0.474025
-0.197693,-0.101744,0.544359
-0.182442,-0.035162,0.566941
-0.166187,0.038401,0.530064
-0.157715,0.109379,0.431863
-0.164136,0.168133,0.285631
-0.188556,0.205935,0.118701
-0.229249,0.216131,-0.035183
-0.280442,0.196098,-0.1483
-0.334385,0.149641,-0.210224
-0.383261,0.088474,-0.231702
-0.41982,0.030237,-0.239649
-0.437226,-0.008464,-0.263395
-0.429064,-0.019482,-0.318612
-0.390078,-0.005896,-0.39674
-0.317809,0.020405,-0.465706
-0.214173,0.045218,-0.485452
-0.085856,0.058658,-0.429171
0.056655,0.058395,-0.29895
0.201242,0.049325,-0.128081
0.336329,0.040107,0.034439
0.452055,0.038022,0.147348
0.540644,0.044162,0.196303
0.596487,0.052418,0.199694
0.616356,0.05474,0.195048
0.599798,0.048455,0.214854
0.548975,0.03995,0.263983
0.467558,0.04151,0.311593
0.359848,0.061173,0.307106
0.231374,0.094376,0.209926
0.090279,0.125827,0.018058
-0.051762,0.138638,-0.219517
-0.180254,0.124604,-0.418927
-0.280755,0.088855,-0.497176
-0.342201,0.044732,-0.41343
-0.358887,0.004934,-0.194843
-0.331031,-0.024248,0.071953
-0.264302,-0.044144,0.277339
-0.169002,-0.060889,0.339587
-0.059072,-0.081177,0.24314
0.049677,-0.108656,0.040571
0.142573,-0.141369,-0.174671
0.208935,-0.170776,-0.311617
0.243232,-0.183617,-0.320857
0.244571,-0.167725,-0.211513
0.215134,-0.119228,-0.043596
0.159056,-0.047306,0.103235
0.082567,0.026855,0.169022
-0.006004,0.078872,0.143041
-0.097748,0.092355,0.0684
-0.185222,0.065959,0.012652
-0.263465,0.013217,0.026609
-0.32954,-0.04571,0.116882
-0.380833,-0.094026,0.243265
-0.413685,-0.123723,0.344155
-0.42369,-0.135626,0.37098
-0.406908,-0.135026,0.312045
