No,X,Y,Z,Tabel
508,-1.125949,0.034937,-0.057606,Gempa
509,-1.131885,0.023371,-0.057559,Gempa
510,-1.017736,0.007654,-0.057333,Gempa
511,-0.79332,-0.007924,-0.05308,Gempa
512,-0.492914,-0.018928,-0.042041,Gempa
513,-0.160273,-0.023738,-0.024226,Gempa
514,0.1712,-0.023687,-0.002634,Gempa
515,0.481516,-0.021308,0.018185,Gempa
516,0.7526,-0.018618,0.034178,Gempa
517,0.954195,-0.016459,0.043343,Gempa
518,1.044275,-0.015076,0.046204,Gempa
519,0.992504,-0.014584,0.044985,Gempa
520,0.802895,-0.014402,0.042283,Gempa
521,0.511467,-0.012937,0.039998,Gempa
522,0.167188,-0.008779,0.038635,Gempa
523,-0.18734,-0.002112,0.037084,Gempa
524,-0.522936,0.005177,0.033171,Gempa
525,-0.814776,0.010289,0.02517,Gempa
526,-1.03465,0.010473,0.013253,Gempa
527,-1.159064,0.003945,-0.000245,Gempa
528,-1.180778,-0.009296,-0.011775,Gempa
529,-1.108064,-0.027113,-0.01831,Gempa
530,-0.954513,-0.04579,-0.018552,Gempa
531,-0.728744,-0.061409,-0.012716,Gempa
532,-0.433937,-0.071593,-0.001892,Gempa
533,-0.08111,-0.076405,0.012008,Gempa
534,0.299159,-0.077474,0.026302,Gempa
535,0.660613,-0.076593,0.038336,Gempa
536,0.952125,-0.075051,0.046521,Gempa
537,1.125621,-0.073577,0.050749,Gempa
538,1.145471,-0.072413,0.051903,Gempa
539,1.004066,-0.071489,0.050592,Gempa
540,0.733356,-0.07072,0.046222,Gempa
541,0.398355,-0.070109,0.037397,Gempa
542,0.072081,-0.069449,0.022994,Gempa
543,-0.199484,-0.068248,0.003116,Gempa
544,-0.415138,-0.066323,-0.020335,Gempa
545,-0.598391,-0.06434,-0.043636,Gempa
546,-0.764988,-0.063468,-0.062148,Gempa
547,-0.907323,-0.064429,-0.072263,Gempa
548,-0.997273,-0.066633,-0.073087,Gempa
549,-1.000435,-0.068187,-0.066522,Gempa
550,-0.891425,-0.067131,-0.056125,Gempa
551,-0.663151,-0.062579,-0.045493,Gempa
552,-0.329885,-0.054551,-0.037039,Gempa
553,0.075098,-0.043354,-0.031663,Gempa
554,0.506177,-0.029502,-0.0288,Gempa
555,0.914878,-0.014047,-0.026475,Gempa
556,1.256451,0.001171,-0.021837,Gempa
557,1.490997,0.013502,-0.012557,Gempa
558,1.588437,0.019854,0.002112,Gempa
559,1.542573,0.017685,0.021603,Gempa
560,1.377699,0.00651,0.044627,Gempa
561,1.132539,-0.011423,0.069003,Gempa
562,0.837563,-0.032375,0.091404,Gempa
563,0.506603,-0.052906,0.107939,Gempa
564,0.146392,-0.070588,0.115341,Gempa
565,-0.222669,-0.083519,0.112026,Gempa
566,-0.557023,-0.089351,0.098259,Gempa
567,-0.808181,-0.085526,0.075109,Gempa
568,-0.948842,-0.071482,0.043629,Gempa
569,-0.98314,-0.050083,0.005419,Gempa
570,-0.939606,-0.025837,-0.036536,Gempa
571,-0.852986,-0.002204,-0.078059,Gempa
572,-0.747116,0.019151,-0.114584,Gempa
573,-0.62862,0.037349,-0.141889,Gempa
574,-0.490351,0.050867,-0.15685,Gempa
575,-0.321958,0.057482,-0.158358,Gempa
576,-0.123736,0.056301,-0.147769,Gempa
577,0.081165,0.049105,-0.12823,Gempa
578,0.244651,0.038706,-0.103409,Gempa
579,0.309807,0.026738,-0.076379,Gempa
580,0.239031,0.013662,-0.049176,Gempa
581,0.041651,0.000054,-0.023196,Gempa
582,-0.218445,-0.012666,0.000344,Gempa
583,-0.450158,-0.022892,0.020492,Gempa
584,-0.578767,-0.030569,0.03668,Gempa
585,-0.58043,-0.037643,0.048409,Gempa
586,-0.489825,-0.045699,0.05529,Gempa
587,-0.371675,-0.053745,0.057966,Gempa
588,-0.278593,-0.059089,0.058439,Gempa
589,-0.221315,-0.059623,0.058579,Gempa
590,-0.164731,-0.055042,0.05847,Gempa
591,-0.055068,-0.046668,0.056536,Gempa
592,0.141373,-0.036415,0.050988,Gempa
