X;Y;Z
0,001502;0,098261;0,000588
0,000812;0,103537;0,001836
0,000305;0,097004;0,003386
0,000051;0,078538;0,005033
-0,000013;0,049755;0,006524
0,000065;0,013407;0,00763
0,000225;-0,027174;0,008215
0,000346;-0,068229;0,008246
0,000348;-0,105577;0,007775
0,000278;-0,134897;0,006923
0,00022;-0,152385;0,005819
0,000169;-0,155695;0,004519
0,00005;-0,144686;0,002965
-0,000184;-0,121463;0,001098
-0,000469;-0,089742;-0,000992
-0,000649;-0,053691;-0,002987
-0,000577;-0,016825;-0,004435
-0,000242;0,018507;-0,004992
0,000201;0,050889;-0,004666
0,00051;0,078987;-0,003865
0,000525;0,100909;-0,003246
0,000288;0,114491;-0,003407
-0,000017;0,118159;-0,004572
-0,000203;0,111756;-0,006441
-0,000191;0,096829;-0,00827
